cruise_name,Profile_ID,Canister,Station,Latitude,Longitude,depth,date_local,In_water_time_local,In_water_DateTime_UTC,particles_per_L,bin_0_0_to_0_5,bin_gt_0_5_to_1_0,bin_gt_1_0_to_1_5,bin_gt_1_5_to_2_0,bin_gt_2_0_to_2_5,bin_gt_2_5_to_3_0,bin_gt_3_0_to_3_5,bin_gt_3_5_to_4_0,bin_gt_4_0_to_4_5,bin_gt_4_5
IVARS 4-2,2005-01-30,,Xip,-77.668,180,104.02,2005-01-30,,,0.74,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,107.35,2005-01-30,,,2.21,0.0,0.0,1.47,0.0,0.37,0.0,0.0,0.0,0.0,0.37
IVARS 4-2,2005-01-30,,Xip,-77.668,180,114.13,2005-01-30,,,0.37,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,133.26,2005-01-30,,,0.74,0.0,0.0,0.0,0.37,0.0,0.0,0.37,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,138.9,2005-01-30,,,0.37,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,147.51,2005-01-30,,,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-2,2005-01-30,,Xip,-77.668,180,164.72,2005-01-30,,,0.37,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,168.15,2005-01-30,,,0.74,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,189.93,2005-01-30,,,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,217.6,2005-01-30,,,0.37,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,219.33,2005-01-30,,,0.37,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,226.02,2005-01-30,,,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0
IVARS 4-2,2005-01-30,,Xip,-77.668,180,375.85,2005-01-30,,,0.37,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
